702318967;859026054;520189793;958820942;133347402;626858869;626639310;288919743;882343297;760741602;751749936;415529183;368057743;193399954;167063914;980633146;219477271;694246711;334416132;187674707;557704857;906301130;804794080;019020858;332747220;821988692;020351184;837673070;428520658;425606959
852078099;293690505;704475005;126040181;800710835;686732358;253062538;428556635;689246940;086883897;467398432;709437985;583123926;870771777;788869572;249325875;168092712;625386541;043965943;711526189;965886641;740953244;191134715;091014247;400513591;004903750;900352035;426024185;939620078;660646863
563339014;717670893;646448268;919301623;922939562;618798431;576365970;402002728;636496190;326034659;164175570;816460292;149811405;384531843;335977173;764757615;650858990;649927434;413275548;049047228;601652532;338117547;923759145;829236064;808650804;830766748;155560738;205707257;221560160;190048383
699911209;985169065;731479606;566016459;626605778;227245939;396193971;102200910;106664624;700483768;250825237;179362505;783345423;625867430;289556754;774641140;787586562;964860954;262843740;185181084;051689649;082976056;257999381;848816024;621065070;660400952;514788566;435488601;070679783;243824663
385134555;313759598;747275440;800625853;820742755;462655082;757774499;315236881;717419736;450609059;316812585;976193813;396112031;899067075;944671358;714053867;054228693;607485869;975611893;328323439;686042299;989580452;113345883;870770834;173876623;407834715;545047225;421735137;592282338;213952039
616729517;733336318;805658449;518056503;369697867;628208703;519705423;442941292;255909061;520537589;971813944;449589520;949504993;158931301;854917894;930679331;861068766;259561233;698962306;351622179;983999699;269514804;510051740;491972318;948102360;186634358;247515883;602375252;694677349;288939569
480890453;969175636;868061597;858229530;812266728;522096305;502368547;183967651;365064735;117141880;991654428;475768974;883339422;731181041;889650805;926201841;141846031;371764461;389485949;028120929;234351103;146128128;605781324;678884611;500068299;530320925;660036602;211515988;968971788;738750686
093217877;541057501;440318745;616272019;090907627;777673159;108418939;763076890;405741960;250510724;600948632;606900988;502329367;122648665;666010011;530595099;668881534;169153961;039954322;316531434;149569242;947170895;682559826;525104398;058324079;792284186;829737758;095932765;072053495;059599939
032975228;437751676;316298301;757183541;064247009;715748573;873535970;699034906;377013183;378913477;359610875;223804840;901223040;541162559;539146830;613117791;162357392;047728727;921271649;524906618;826543620;642392039;489592211;365086942;223793847;881815853;875743813;298974752;563172047;342881302
643454763;936790846;708168850;338833026;215524036;677446061;267450501;195448275;346483610;368682825;950584575;130575423;659462193;330493670;084187306;236387168;340898223;421984846;881411262;299806887;136106517;400318948;560401078;776846575;377926263;333448354;215440733;431882362;784449356;262758386
